0	0.001
0.01	0
0.02	0.001
0.03	0.001
0.04	0.002
0.05	0.003
0.06	0.006
0.07	0.003
0.08	0.005
0.09	0.006
0.1	0.004
0.11	0.014
0.12	0.006
0.13	0.017
0.14	0.018
0.15	0.016
0.16	0.016
0.17	0.018
0.18	0.018
0.19	0.027
0.2	0.025
0.21	0.036
0.22	0.018
0.23	0.025
0.24	0.033
0.25	0.028
0.26	0.034
0.27	0.028
0.28	0.027
0.29	0.024
0.3	0.02
0.31	0.027
0.32	0.029
0.33	0.024
0.34	0.029
0.35	0.025
0.36	0.016
0.37	0.017
0.38	0.018
0.39	0.018
0.4	0.032
0.41	0.017
0.42	0.024
0.43	0.017
0.44	0.018
0.45	0.017
0.46	0.01
0.47	0.015
0.48	0.007
0.49	0.009
0.5	0.01
0.51	0.013
0.52	0.01
0.53	0.008
0.54	0.008
0.55	0.012
0.56	0.007
0.57	0.005
0.58	0.005
0.59	0.005
0.6	0.005
0.61	0.001
0.62	0.006
0.63	0.005
0.64	0.005
0.65	0.001
0.66	0.002
0.67	0.003
0.68	0.004
0.69	0.003
0.7	0.003
0.71	0.007
0.72	0.002
0.73	0.002
0.74	0.001
0.75	0.004
0.76	0.001
0.77	0.001
0.78	0.001
0.79	0.001
0.8	0.001
0.81	0.002
0.82	0.001
0.83	0.002
0.84	0
0.85	0
0.86	0.001
0.87	0.001
0.88	0
0.89	0.001
0.9	0
0.91	0.001
0.92	0
0.93	0
0.94	0
0.95	0
0.96	0
0.97	0
0.98	0
0.99	0
